date,industry,lprod,gva,labour
1997,WE,78.2096,65.2701,83.4554
1998,WE,80.0466,67.3169,84.0971
1999,WE,81.8455,69.4449,84.8488
2000,WE,85.0417,72.3268,85.0486
2001,WE,85.9577,73.846,85.9097
2002,WE,87.4538,74.9793,85.7359
2003,WE,89.7885,77.3218,86.1155
2004,WE,90.8861,78.9997,86.9216
2005,WE,92.3345,81.3027,88.0523
2006,WE,93.8276,83.1557,88.6261
2007,WE,95.3507,85.2979,89.457
2008,WE,94.893,85.3317,89.9241
2009,WE,93.3287,81.4892,87.3142
2010,WE,95.2293,83.6031,87.7914
2011,WE,96.0231,84.5548,88.0567
2012,WE,95.7101,85.9852,89.8392
2013,WE,95.6052,87.469,91.4898
2014,WE,96.0523,90.3038,94.0152
2015,WE,96.6551,92.2756,95.4689
2016,WE,97.5301,94.3757,96.7658
2017,WE,98.9269,96.7438,97.7933
2018,WE,99.6824,98.306,98.6192
2019,WE,100.0,100.0,100.0
2020,WE,99.9551,89.4297,89.4699
2021,WE,100.6973,96.0642,95.399
1997,A to T excluding imputed rental: 01 to 98 excluding 68.2,77.1539,64.3891,83.4554
1998,A to T excluding imputed rental: 01 to 98 excluding 68.2,79.1315,66.5473,84.0971
1999,A to T excluding imputed rental: 01 to 98 excluding 68.2,80.8666,68.6143,84.8488
2000,A to T excluding imputed rental: 01 to 98 excluding 68.2,84.3925,71.7746,85.0486
2001,A to T excluding imputed rental: 01 to 98 excluding 68.2,85.3826,73.3519,85.9097
2002,A to T excluding imputed rental: 01 to 98 excluding 68.2,87.068,74.6485,85.7359
2003,A to T excluding imputed rental: 01 to 98 excluding 68.2,89.4361,77.0184,86.1155
2004,A to T excluding imputed rental: 01 to 98 excluding 68.2,90.6518,78.796,86.9216
2005,A to T excluding imputed rental: 01 to 98 excluding 68.2,92.4241,81.3815,88.0523
2006,A to T excluding imputed rental: 01 to 98 excluding 68.2,93.8241,83.1526,88.6261
2007,A to T excluding imputed rental: 01 to 98 excluding 68.2,95.8389,85.7346,89.457
2008,A to T excluding imputed rental: 01 to 98 excluding 68.2,95.4201,85.8056,89.9241
2009,A to T excluding imputed rental: 01 to 98 excluding 68.2,93.2622,81.4311,87.3142
2010,A to T excluding imputed rental: 01 to 98 excluding 68.2,95.2986,83.664,87.7914
2011,A to T excluding imputed rental: 01 to 98 excluding 68.2,96.2917,84.7913,88.0567
2012,A to T excluding imputed rental: 01 to 98 excluding 68.2,95.7664,86.0357,89.8392
2013,A to T excluding imputed rental: 01 to 98 excluding 68.2,95.5882,87.4534,91.4898
2014,A to T excluding imputed rental: 01 to 98 excluding 68.2,96.1117,90.3597,94.0152
2015,A to T excluding imputed rental: 01 to 98 excluding 68.2,96.5146,92.1415,95.4689
2016,A to T excluding imputed rental: 01 to 98 excluding 68.2,97.2506,94.1052,96.7658
2017,A to T excluding imputed rental: 01 to 98 excluding 68.2,98.9153,96.7325,97.7933
2018,A to T excluding imputed rental: 01 to 98 excluding 68.2,99.6312,98.2555,98.6192
2019,A to T excluding imputed rental: 01 to 98 excluding 68.2,100.0,100.0,100.0
2020,A to T excluding imputed rental: 01 to 98 excluding 68.2,98.7355,88.3386,89.4699
2021,A to T excluding imputed rental: 01 to 98 excluding 68.2,100.1592,95.5509,95.399
1997,B to T: 05 to 98,79.0486,65.459,82.8086
1998,B to T: 05 to 98,80.6692,67.4249,83.5819
1999,B to T: 05 to 98,82.217,69.4834,84.5122
2000,B to T: 05 to 98,85.2536,72.3318,84.8431
2001,B to T: 05 to 98,86.0235,73.8602,85.8605
2002,B to T: 05 to 98,87.3197,74.8549,85.725
2003,B to T: 05 to 98,89.7322,77.2466,86.0857
2004,B to T: 05 to 98,90.9699,79.0162,86.8598
2005,B to T: 05 to 98,92.3828,81.2801,87.9819
2006,B to T: 05 to 98,93.8886,83.1561,88.569
2007,B to T: 05 to 98,95.4347,85.3704,89.4543
2008,B to T: 05 to 98,94.8837,85.2724,89.8705
2009,B to T: 05 to 98,93.5504,81.4463,87.0614
2010,B to T: 05 to 98,95.7011,83.6704,87.4288
2011,B to T: 05 to 98,96.2696,84.4797,87.7532
2012,B to T: 05 to 98,95.9705,86.021,89.6327
2013,B to T: 05 to 98,95.7546,87.5254,91.406
2014,B to T: 05 to 98,96.1381,90.1226,93.7429
2015,B to T: 05 to 98,96.669,92.2107,95.3881
2016,B to T: 05 to 98,97.5988,94.3906,96.7129
2017,B to T: 05 to 98,99.0451,96.7466,97.6793
2018,B to T: 05 to 98,99.837,98.4,98.5606
2019,B to T: 05 to 98,100.0,100.0,100.0
2020,B to T: 05 to 98,100.2073,89.5581,89.3728
2021,B to T: 05 to 98,100.6895,96.1458,95.4875
1997,A to J and L to T: 01 to 63 and 67 to 98,78.4012,65.1218,83.0622
1998,A to J and L to T: 01 to 63 and 67 to 98,80.2781,67.185,83.6903
1999,A to J and L to T: 01 to 63 and 67 to 98,82.3806,69.5044,84.3698
2000,A to J and L to T: 01 to 63 and 67 to 98,85.5106,72.3471,84.606
2001,A to J and L to T: 01 to 63 and 67 to 98,86.6299,73.9952,85.4154
2002,A to J and L to T: 01 to 63 and 67 to 98,87.8517,74.8834,85.2384
2003,A to J and L to T: 01 to 63 and 67 to 98,90.1223,77.1942,85.655
2004,A to J and L to T: 01 to 63 and 67 to 98,91.1343,78.9115,86.5881
2005,A to J and L to T: 01 to 63 and 67 to 98,91.787,80.4877,87.6896
2006,A to J and L to T: 01 to 63 and 67 to 98,93.5983,82.6508,88.3037
2007,A to J and L to T: 01 to 63 and 67 to 98,93.4061,83.1666,89.0376
2008,A to J and L to T: 01 to 63 and 67 to 98,92.8858,83.0886,89.4524
2009,A to J and L to T: 01 to 63 and 67 to 98,91.4832,79.4794,86.8786
2010,A to J and L to T: 01 to 63 and 67 to 98,93.8757,82.0782,87.4329
2011,A to J and L to T: 01 to 63 and 67 to 98,95.1218,83.3086,87.581
2012,A to J and L to T: 01 to 63 and 67 to 98,94.7945,84.7448,89.3984
2013,A to J and L to T: 01 to 63 and 67 to 98,95.1461,86.7468,91.1722
2014,A to J and L to T: 01 to 63 and 67 to 98,95.8607,89.8912,93.7727
2015,A to J and L to T: 01 to 63 and 67 to 98,96.8946,92.4066,95.3682
2016,A to J and L to T: 01 to 63 and 67 to 98,97.4086,94.1372,96.6415
2017,A to J and L to T: 01 to 63 and 67 to 98,98.3124,96.1419,97.7922
