date,industry,lprod,gva,labour
1997,WE,78.2096,65.2701,83.4554
1998,WE,80.0466,67.3169,84.0971
1999,WE,81.8455,69.4449,84.8488
2000,WE,85.0417,72.3268,85.0486
2001,WE,85.9577,73.846,85.9097
2002,WE,87.4538,74.9793,85.7359
2003,WE,89.7885,77.3218,86.1155
2004,WE,90.8861,78.9997,86.9216
2005,WE,92.3345,81.3027,88.0523
2006,WE,93.8276,83.1557,88.6261
2007,WE,95.3507,85.2979,89.457
2008,WE,94.893,85.3317,89.9241
2009,WE,93.3287,81.4892,87.3142
2010,WE,95.2293,83.6031,87.7914
2011,WE,96.0231,84.5548,88.0567
2012,WE,95.7101,85.9852,89.8392
2013,WE,95.6052,87.469,91.4898
2014,WE,96.0523,90.3038,94.0152
2015,WE,96.6551,92.2756,95.4689
2016,WE,97.5301,94.3757,96.7658
2017,WE,98.9269,96.7438,97.7933
2018,WE,99.6824,98.306,98.6192
2019,WE,100.0,100.0,100.0
2020,WE,99.9551,89.4297,89.4699
2021,WE,100.6973,96.0642,95.399
1997,A.01,44.0592,57.3752,130.2232
1998,A.01,56.3954,67.1524,119.0743
1999,A.01,70.8051,76.0485,107.4053
2000,A.01,84.9052,84.4023,99.4076
2001,A.01,92.2806,83.3263,90.2967
2002,A.01,120.2043,104.3887,86.8428
2003,A.01,112.3782,99.856,88.8571
2004,A.01,95.1572,88.3081,92.8022
2005,A.01,102.785,96.3907,93.779
2006,A.01,100.7451,94.154,93.4577
2007,A.01,91.2692,83.5042,91.4921
2008,A.01,110.4117,104.5327,94.6755
2009,A.01,90.6495,94.9081,104.6978
2010,A.01,70.3322,80.6066,114.6085
2011,A.01,96.8283,106.3797,109.8643
2012,A.01,82.211,86.2831,104.9533
2013,A.01,85.6034,84.3514,98.5374
2014,A.01,107.3581,121.5793,113.2464
2015,A.01,101.5224,104.287,102.7232
2016,A.01,91.2494,92.9509,101.8647
2017,A.01,91.9188,98.0852,106.7085
2018,A.01,82.8148,86.334,104.2495
2019,A.01,100.0,100.0,100.0
2020,A.01,98.6441,94.8572,96.161
2021,A.01,112.6894,100.1017,88.8297
1997,A.02 and 03,66.9144,59.5152,88.9424
1998,A.02 and 03,59.7492,59.2486,99.1621
1999,A.02 and 03,70.6535,69.093,97.7913
2000,A.02 and 03,73.1294,62.5418,85.5222
2001,A.02 and 03,104.3608,79.0331,75.7306
2002,A.02 and 03,101.2786,82.7418,81.6972
2003,A.02 and 03,106.4305,84.8095,79.6853
2004,A.02 and 03,114.0422,91.1449,79.9221
2005,A.02 and 03,124.4594,97.5222,78.3566
2006,A.02 and 03,117.9052,93.9347,79.6696
2007,A.02 and 03,122.1049,85.6079,70.1102
2008,A.02 and 03,130.8473,102.6782,78.4717
2009,A.02 and 03,133.9592,123.4578,92.1608
2010,A.02 and 03,110.9734,96.9958,87.4046
2011,A.02 and 03,97.9122,82.8715,84.6386
2012,A.02 and 03,109.5874,92.0283,83.9771
2013,A.02 and 03,118.2611,94.5104,79.9167
2014,A.02 and 03,121.3247,114.5925,94.4512
2015,A.02 and 03,122.2519,104.0273,85.0926
2016,A.02 and 03,118.8772,99.1745,83.426
2017,A.02 and 03,108.8727,95.2923,87.5264
2018,A.02 and 03,97.2492,79.7202,81.9751
2019,A.02 and 03,100.0,100.0,100.0
2020,A.02 and 03,110.4242,107.5172,97.3674
2021,A.02 and 03,114.7055,115.3565,100.5675
1997,B.05 to 08,307.1866,436.7219,142.1683
1998,B.05 to 08,293.3885,433.2343,147.6657
1999,B.05 to 08,282.6999,434.9785,153.8658
2000,B.05 to 08,260.9607,393.7774,150.8953
2001,B.05 to 08,246.3403,367.6204,149.2327
2002,B.05 to 08,255.363,352.4735,138.0284
2003,B.05 to 08,252.1745,328.7496,130.366
2004,B.05 to 08,256.1405,306.1701,119.5321
2005,B.05 to 08,221.832,271.4673,122.3752
2006,B.05 to 08,185.3339,229.0179,123.5704
2007,B.05 to 08,175.5815,207.0517,117.9234
2008,B.05 to 08,155.1028,180.0834,116.1058
2009,B.05 to 08,156.5462,165.6901,105.841
2010,B.05 to 08,142.2915,143.823,101.0763
2011,B.05 to 08,95.2163,105.7105,111.0214
2012,B.05 to 08,67.7705,89.0818,131.4463
2013,B.05 to 08,62.538,76.6441,122.556
2014,B.05 to 08,67.2484,77.116,114.6734
2015,B.05 to 08,75.2497,81.7195,108.5978
2016,B.05 to 08,93.9125,97.7769,104.1149
2017,B.05 to 08,94.2903,91.6543,97.2044
2018,B.05 to 08,103.1894,99.3315,96.2613
2019,B.05 to 08,100.0,100.0,100.0
2020,B.05 to 08,91.4334,96.0597,105.0597
2021,B.05 to 08,89.4109,83.9712,93.9161
1997,B.09,146.8706,97.9223,66.6724
1998,B.09,98.2149,72.118,73.4287
1999,B.09,83.7031,64.0751,76.5505
2000,B.09,85.863,63.0697,73.4539
2001,B.09,85.2767,62.4665,73.2515
2002,B.09,95.7218,61.2601,63.998
2003,B.09,88.5848,57.1716,64.5388
2004,B.09,126.5804,69.437,54.8561
2005,B.09,119.9027,70.7775,59.0291
2006,B.09,165.0559,97.7212,59.2049
2007,B.09,177.4798,102.2788,57.6284
2008,B.09,209.0401,130.6971,62.5225
2009,B.09,151.7894,114.5442,75.4626
2010,B.09,115.4072,117.8284,102.098
2011,B.09,81.878,89.7453,109.6086
2012,B.09,83.4205,104.7587,125.5791
2013,B.09,69.6776,102.1448,146.5963
2014,B.09,84.0516,108.7131,129.3409
2015,B.09,161.0589,201.8097,125.3018
2016,B.09,123.3226,125.067,101.4145
2017,B.09,104.0024,99.2627,95.4428
2018,B.09,63.7829,78.3512,122.8404
2019,B.09,100.0,100.0,100.0
2020,B.09,119.004,106.9035,89.8318
2021,B.09,117.7244,103.0161,87.5061
1997,C.10,67.7066,81.8151,120.8377
1998,C.10,71.027,85.1974,119.9507
1999,C.10,72.0545,84.1684,116.8121
2000,C.10,76.1182,86.8295,114.0718
2001,C.10,77.5302,85.3618,110.1015
2002,C.10,81.8861,87.3271,106.6445
2003,C.10,90.5223,93.1849,102.9413
2004,C.10,93.5157,97.554,104.3183
2005,C.10,87.4568,89.0477,101.8191
2006,C.10,96.7311,95.2429,98.4615
2007,C.10,96.7874,94.1928,97.3193
2008,C.10,91.9125,86.3445,93.9421
2009,C.10,94.3554,86.7915,91.9836
2010,C.10,84.5986,79.1203,93.5243
2011,C.10,80.7932,74.8229,92.6104
