date,industry,lprod,gva,labour
1997,WE,78.2096,65.2701,83.4554
1998,WE,80.0466,67.3169,84.0971
1999,WE,81.8455,69.4449,84.8488
2000,WE,85.0417,72.3268,85.0486
2001,WE,85.9577,73.846,85.9097
2002,WE,87.4538,74.9793,85.7359
2003,WE,89.7885,77.3218,86.1155
2004,WE,90.8861,78.9997,86.9216
2005,WE,92.3345,81.3027,88.0523
2006,WE,93.8276,83.1557,88.6261
2007,WE,95.3507,85.2979,89.457
2008,WE,94.893,85.3317,89.9241
2009,WE,93.3287,81.4892,87.3142
2010,WE,95.2293,83.6031,87.7914
2011,WE,96.0231,84.5548,88.0567
2012,WE,95.7101,85.9852,89.8392
2013,WE,95.6052,87.469,91.4898
2014,WE,96.0523,90.3038,94.0152
2015,WE,96.6551,92.2756,95.4689
2016,WE,97.5301,94.3757,96.7658
2017,WE,98.9269,96.7438,97.7933
2018,WE,99.6824,98.306,98.6192
2019,WE,100.0,100.0,100.0
2020,WE,99.9551,89.4297,89.4699
2021,WE,100.6973,96.0642,95.399
1997,A: 01 to 03,45.0438,56.4555,125.3349
1998,A: 01 to 03,55.6724,65.3906,117.456
1999,A: 01 to 03,69.5967,74.2148,106.6355
2000,A: 01 to 03,82.6281,81.2652,98.3506
2001,A: 01 to 03,91.784,81.7752,89.0953
2002,A: 01 to 03,116.9286,101.0716,86.4387
2003,A: 01 to 03,110.2515,97.0734,88.0472
2004,A: 01 to 03,95.5768,86.9041,90.926
2005,A: 01 to 03,102.2658,94.7084,92.6101
2006,A: 01 to 03,100.1078,92.4248,92.3253
2007,A: 01 to 03,91.698,82.189,89.6302
2008,A: 01 to 03,109.7027,102.4536,93.392
2009,A: 01 to 03,92.2601,95.6544,103.6791
2010,A: 01 to 03,72.4789,80.6444,111.2662
2011,A: 01 to 03,95.1175,102.4462,107.705
2012,A: 01 to 03,83.7668,86.4533,103.2071
2013,A: 01 to 03,87.8105,85.1009,96.9142
2014,A: 01 to 03,107.9306,120.5011,111.6468
2015,A: 01 to 03,103.2786,104.0056,100.7039
2016,A: 01 to 03,93.2983,93.4742,100.1886
2017,A: 01 to 03,92.9463,97.7533,105.1718
2018,A: 01 to 03,83.5278,85.5443,102.4142
2019,A: 01 to 03,100.0,100.0,100.0
2020,A: 01 to 03,100.7886,96.5117,95.7566
2021,A: 01 to 03,113.8293,102.0693,89.6688
1997,B: 05 to 09,354.691,390.3063,110.0412
1998,B: 05 to 09,322.2345,376.2685,116.7685
1999,B: 05 to 09,306.3045,373.3802,121.8984
2000,B: 05 to 09,286.0928,340.405,118.9841
2001,B: 05 to 09,270.5802,318.8869,117.853
2002,B: 05 to 09,284.9221,306.1487,107.45
2003,B: 05 to 09,276.8628,285.5857,103.1506
2004,B: 05 to 09,293.4331,270.5882,92.2146
2005,B: 05 to 09,251.7255,242.1959,96.2143
2006,B: 05 to 09,217.9246,211.5167,97.0596
2007,B: 05 to 09,208.7419,193.438,92.6685
2008,B: 05 to 09,186.7429,174.4363,93.4099
2009,B: 05 to 09,171.4275,159.8246,93.2316
2010,B: 05 to 09,140.6652,141.5943,100.6605
2011,B: 05 to 09,94.6727,104.4221,110.298
2012,B: 05 to 09,70.0482,90.4486,129.1235
2013,B: 05 to 09,59.4139,78.7666,132.5728
2014,B: 05 to 09,64.9214,79.7079,122.7761
2015,B: 05 to 09,79.5059,91.1696,114.6702
2016,B: 05 to 09,97.1293,99.8163,102.7664
2017,B: 05 to 09,95.4699,92.0742,96.4432
2018,B: 05 to 09,91.5013,97.8923,106.9846
2019,B: 05 to 09,100.0,100.0,100.0
2020,B: 05 to 09,99.0133,96.7535,97.7176
2021,B: 05 to 09,93.9544,85.4296,90.9267
1997,C: 10 to 33,42.391,68.4538,161.4819
1998,C: 10 to 33,44.1902,71.0234,160.7221
1999,C: 10 to 33,48.4881,74.32,153.2746
2000,C: 10 to 33,52.7016,77.5838,147.2133
2001,C: 10 to 33,56.1778,79.0456,140.7061
2002,C: 10 to 33,61.4705,81.5649,132.6896
2003,C: 10 to 33,67.3297,83.8918,124.5987
2004,C: 10 to 33,71.317,85.6138,120.0467
2005,C: 10 to 33,75.8726,87.1377,114.8474
2006,C: 10 to 33,83.0679,92.594,111.4678
2007,C: 10 to 33,84.9565,92.8166,109.2519
2008,C: 10 to 33,88.4081,93.5375,105.802
2009,C: 10 to 33,86.9353,85.1828,97.9841
2010,C: 10 to 33,88.303,86.4599,97.9127
2011,C: 10 to 33,88.1806,85.4096,96.8575
2012,C: 10 to 33,89.7752,87.3753,97.3267
2013,C: 10 to 33,92.2649,90.7104,98.3151
2014,C: 10 to 33,94.7861,93.5191,98.6633
2015,C: 10 to 33,94.308,94.2066,99.8925
2016,C: 10 to 33,94.782,93.6314,98.7861
2017,C: 10 to 33,95.12,94.7649,99.6267
2018,C: 10 to 33,98.8838,98.8337,99.9493
2019,C: 10 to 33,100.0,100.0,100.0
2020,C: 10 to 33,114.4887,100.1124,87.443
2021,C: 10 to 33,119.6948,109.775,91.7124
1997,D: 35,100.8194,79.0248,78.3825
1998,D: 35,112.4986,86.5304,76.9169
1999,D: 35,160.2904,105.6454,65.9087
2000,D: 35,131.5828,88.0417,66.9098
2001,D: 35,178.7181,120.6703,67.5199
2002,D: 35,159.7517,106.9127,66.9243
2003,D: 35,193.7139,122.3137,63.1414
2004,D: 35,172.0015,103.4563,60.1485
2005,D: 35,133.3352,82.9521,62.2132
2006,D: 35,138.8139,92.7925,66.8467
2007,D: 35,120.8849,87.3098,72.2256
2008,D: 35,106.3916,80.7089,75.8602
2009,D: 35,101.7611,81.6475,80.2345
2010,D: 35,90.5519,77.0018,85.036
2011,D: 35,78.6275,70.0078,89.0373
2012,D: 35,84.4562,73.9758,87.5908
2013,D: 35,84.5503,81.451,96.3344
2014,D: 35,82.4262,76.3986,92.6873
2015,D: 35,97.9917,95.9507,97.9171
2016,D: 35,100.7538,97.4484,96.7193
2017,D: 35,90.041,90.5595,100.5758
2018,D: 35,83.7119,87.6724,104.7311
2019,D: 35,100.0,100.0,100.0
2020,D: 35,116.55,109.0712,93.5831
2021,D: 35,120.8811,114.7132,94.8975
1997,E: 36 to 39,165.6625,119.3444,72.0407
1998,E: 36 to 39,172.6255,118.6078,68.7082
1999,E: 36 to 39,167.3573,110.6114,66.0929
2000,E: 36 to 39,166.8945,116.5862,69.8562
