date,industry,lprod,gva,labour
1997 Q1,WE,77.6778,64.5075,83.045
1997 Q2,WE,77.8881,65.0251,83.4853
1997 Q3,WE,78.2054,65.4281,83.6618
1997 Q4,WE,79.0627,66.1198,83.6296
1998 Q1,WE,79.1483,66.5152,84.0386
1998 Q2,WE,79.8168,67.0765,84.0381
1998 Q3,WE,80.0547,67.5391,84.3662
1998 Q4,WE,81.1679,68.1369,83.9455
1999 Q1,WE,81.203,68.5626,84.4336
1999 Q2,WE,81.1318,68.678,84.65
1999 Q3,WE,82.0445,69.7799,85.0513
1999 Q4,WE,82.9919,70.759,85.2601
2000 Q1,WE,85.0854,71.5252,84.0628
2000 Q2,WE,84.805,72.1685,85.0994
2000 Q3,WE,85.2926,72.6417,85.1677
2000 Q4,WE,84.9847,72.9717,85.8645
2001 Q1,WE,85.8907,73.5184,85.5954
2001 Q2,WE,85.646,73.7886,86.1554
2001 Q3,WE,86.0817,74.0362,86.0069
2001 Q4,WE,86.213,74.0406,85.881
2002 Q1,WE,86.6645,74.2594,85.686
2002 Q2,WE,87.5596,74.6845,85.2956
2002 Q3,WE,87.4667,75.1475,85.9156
2002 Q4,WE,88.1219,75.8256,86.0464
2003 Q1,WE,88.8902,76.4266,85.9786
2003 Q2,WE,89.3088,77.0116,86.2307
2003 Q3,WE,89.9893,77.6923,86.335
2003 Q4,WE,90.967,78.1567,85.9176
2004 Q1,WE,90.3343,78.4042,86.7934
2004 Q2,WE,91.2636,78.9246,86.4798
2004 Q3,WE,91.37,79.1994,86.6799
2004 Q4,WE,90.5819,79.4706,87.7333
2005 Q1,WE,91.2218,80.1033,87.8116
2005 Q2,WE,92.2292,80.9066,87.7235
2005 Q3,WE,92.4016,81.6334,88.3463
2005 Q4,WE,93.4784,82.5673,88.3277
2006 Q1,WE,93.4634,82.7709,88.5597
2006 Q2,WE,93.9674,83.1093,88.4448
2006 Q3,WE,93.9445,83.2075,88.5709
2006 Q4,WE,93.9348,83.5352,88.929
2007 Q1,WE,94.8724,84.5068,89.0741
2007 Q2,WE,95.0024,84.9947,89.4659
2007 Q3,WE,95.4475,85.5635,89.6445
2007 Q4,WE,96.0767,86.1264,89.6434
2008 Q1,WE,95.5307,86.7222,90.7794
2008 Q2,WE,96.3082,86.467,89.7816
2008 Q3,WE,94.68,85.0593,89.8388
2008 Q4,WE,93.0363,83.0781,89.2964
2009 Q1,WE,92.8841,81.5352,87.7816
2009 Q2,WE,92.8587,81.209,87.4544
2009 Q3,WE,93.6103,81.4358,86.9945
2009 Q4,WE,93.9679,81.7766,87.0261
2010 Q1,WE,94.9903,82.5629,86.9172
2010 Q2,WE,95.3212,83.5604,87.662
2010 Q3,WE,95.453,84.1006,88.1068
2010 Q4,WE,95.1502,84.1884,88.4795
2011 Q1,WE,95.2019,84.2728,88.52
2011 Q2,WE,96.3361,84.3684,87.5772
2011 Q3,WE,96.1373,84.7068,88.1101
2011 Q4,WE,96.423,84.8711,88.0196
2012 Q1,WE,96.3394,85.6063,88.8591
2012 Q2,WE,95.582,85.5207,89.4736
2012 Q3,WE,95.7104,86.5,90.3768
2012 Q4,WE,95.2192,86.3136,90.6473
2013 Q1,WE,95.517,86.6604,90.7277
2013 Q2,WE,95.7405,87.097,90.9719
2013 Q3,WE,95.4101,87.8239,92.0489
2013 Q4,WE,95.7531,88.2947,92.2107
